Population,Mean_MinWinter_Temp
BOGR-AZ040-284-SANTACRUZ-17,-0.249534921
BOGR-AZ040-302-SANTACRUZ-17,-0.249534921
BOGR-AZ040-278-SANTACRUZ-17,-0.556939685
BOGR-AZ930-303-10,-3.36106905
BOGR-AZ930-302-10,-3.36106905
BOGR-CO932-363-CLEARCREEK-17,-9.721912702
BOGR-CO932-360-FREMONT-17,-7.173446027
BOGR-CO932-276-11,-6.852935721
BOGR-CO932-362-CHAFFEE-17,-9.88854764
BOGR-CO932-307-JEFFERSON-12,-10.16996426
BOGR-CO932-274-11,-8.869459519
BOGR-NM080-67-CHAVES-16,-2.643999207
BOGR-NM930-145-10,-2.127019041
BOGR-NM930-140-10,-5.076971417
BOGR-NM930N-95-SANDOVAL-12,-9.581087324
BOGR-NM930-071-08,-1.291115081
BOGR-UT030-215-GARFIELD-13,-5.104831739
BOGR-UT080-163-CARBON-14,-8.397587314
BOGR-WY050-133-FREMONT-16,-12.99400716
BOGR-WY050-113-FREMONT-15,-12.99400716
BOGR-WY070-71-JOHNSON-15,-9.553498438