OBJECTID,Route Name,Straight Line Distance (Miles),Straight Line Distance (Kilometers),Origin ID,Destination ID,Origins Layer: Code,Origins Layer: Latitude_O,Origins Layer: Longitude_O,Destinations Layer: Code,Destinations Layer: Latitude,Destinations Layer: Longitude
1,Route 1 - 4 - 1,492.9221615,793.28132,4,1,BOGR2-SOS-AZ930-303-10,34.5156,-111.4433,Common_garden,39.542992,-105.09878
2,Route 2 - 5 - 1,493.9388381,794.91751,5,1,BOGR2-SOS-AZ930-302-10,34.50289,-111.453,Common_garden,39.542992,-105.09878
3,Route 3 - 6 - 1,26.06453377,41.9468,6,1,BOGR2-SOS-CO932-363-CLEARCREEK-17,39.74432,-105.5123,Common_garden,39.542992,-105.09878
4,Route 4 - 7 - 1,69.86382708,112.43493,7,1,BOGR2-SOS-CO932-360-FREMONT-17,38.53475,-105.2216,Common_garden,39.542992,-105.09878
5,Route 5 - 8 - 1,17.37811774,27.96737,8,1,BOGR2-SOS-CO932-276-11,39.77644,-105.2212,Common_garden,39.542992,-105.09878
6,Route 6 - 9 - 1,85.59925491,137.75865,9,1,BOGR2-SOS-CO932-362-CHAFFEE-17,38.56978,-106.0862,Common_garden,39.542992,-105.09878
7,Route 7 - 10 - 1,15.07913528,24.26752,10,1,BOGR2-SOS-CO932-307-JEFFERSON-12,39.63353,-105.3559,Common_garden,39.542992,-105.09878
8,Route 8 - 11 - 1,12.26211588,19.73396,11,1,BOGR2-SOS-CO932-274-11,39.66731,-105.263,Common_garden,39.542992,-105.09878
9,Route 9 - 12 - 1,10.36647784,16.68323,12,1,BOGR2-SOS-NM080-67-CHAVES-16,39.6719,-105.1986,Common_garden,39.542992,-105.09878
10,Route 10 - 13 - 1,494.6484413,796.0595,13,1,BOGR2-SOS-NM930-145-10,32.38164,-105.6314,Common_garden,39.542992,-105.09878
11,Route 11 - 14 - 1,392.1651391,631.12861,14,1,BOGR2-SOS-NM930-140-10,33.96633,-106.4871,Common_garden,39.542992,-105.09878
12,Route 12 - 15 - 1,266.9157532,429.55927,15,1,BOGR2-SOS-NM930N-95-SANDOVAL-12,35.99262,-107.0403,Common_garden,39.542992,-105.09878
13,Route 13 - 17 - 1,365.2796726,587.86065,17,1,BOGR2-SOS-UT030-215-GARFIELD-13,37.73103,-111.4451,Common_garden,39.542992,-105.09878
14,Route 14 - 18 - 1,268.7242537,432.46977,18,1,BOGR2-SOS-UT080-163-CARBON-14,39.74889,-110.1309,Common_garden,39.542992,-105.09878
15,Route 15 - 19 - 1,305.0710965,490.96434,19,1,BOGR2-SOS-WY050-133-FREMONT-16,43.33724,-108.1153,Common_garden,39.542992,-105.09878
16,Route 16 - 20 - 1,305.2786378,491.29834,20,1,BOGR2-SOS-WY050-113-FREMONT-15,43.34196,-108.1127,Common_garden,39.542992,-105.09878
17,Route 17 - 22 - 1,179.0483582,288.1504,22,1,ERNA10-SOS-CO932-387-RIOBLANCO-19,39.818533,-108.438786,Common_garden,39.542992,-105.09878
18,Route 18 - 23 - 1,119.7901953,192.78363,23,1,ERNA10-SOS-CO932-385-GUNNISON-19,38.616133,-106.982944,Common_garden,39.542992,-105.09878
19,Route 19 - 24 - 1,177.3131695,285.35789,24,1,ERNA10-SOS-CO932-390-MONTROSE-20,38.417194,-108.059597,Common_garden,39.542992,-105.09878
20,Route 20 - 25 - 1,220.347923,354.61561,25,1,ERNA10-SOS-CO932-393-MESA-20,38.614458,-109.020417,Common_garden,39.542992,-105.09878
21,Route 21 - 26 - 1,220.208386,354.39104,26,1,ERNA10-SOS-CO932-394-MESA-20,38.641975,-109.029022,Common_garden,39.542992,-105.09878
22,Route 22 - 27 - 1,94.33990604,151.82536,27,1,ERNA10-SOS-CO932-389-ROUTT-19,39.922972,-106.800131,Common_garden,39.542992,-105.09878
23,Route 23 - 28 - 1,17.88039551,28.77571,28,1,ERNA10-SOS-CO932-290-11,39.7815,-105.23,Common_garden,39.542992,-105.09878
24,Route 24 - 29 - 1,11.82376865,19.02851,29,1,ERNA10-SOS-CO932-292-11,39.69311,-105.2057,Common_garden,39.542992,-105.09878
25,Route 25 - 30 - 1,789.1551836,1270.02216,30,1,ERNA10-SOS-NV030-521-10,38.75772,-119.7726,Common_garden,39.542992,-105.09878
26,Route 26 - 31 - 1,782.1545607,1258.75575,31,1,ERNA10-SOS-NV030-926-WASHOE-13,39.24648,-119.7223,Common_garden,39.542992,-105.09878
27,Route 27 - 32 - 1,778.8945225,1253.50923,32,1,ERNA10-SOS-NV030-1366-WASHOE-17,39.82156,-119.7223,Common_garden,39.542992,-105.09878
28,Route 28 - 33 - 1,784.4050381,1262.37754,33,1,ERNA10-SOS-NV030-1515-WASHOE-20,39.24220831,-119.7639048,Common_garden,39.542992,-105.09878
29,Route 29 - 34 - 1,758.2265198,1220.2473,34,1,ERNA10-SOS-NV030-1347-LYON-17,39.21336,-119.2691,Common_garden,39.542992,-105.09878
30,Route 30 - 35 - 1,725.229585,1167.14388,35,1,ERNA10-SOS-NV030-1024-INYO-14,37.29426,-118.1676,Common_garden,39.542992,-105.09878
31,Route 31 - 36 - 1,371.0353669,597.12354,36,1,ERNA10-SOS-UT030-219-GARFIELD-13,37.29122,-111.3106,Common_garden,39.542992,-105.09878
32,Route 32 - 37 - 1,325.6898135,524.14695,37,1,ERNA10-SOS-UT931-398-10,40.11653,-111.1775,Common_garden,39.542992,-105.09878
33,Route 33 - 38 - 1,374.4119787,602.55767,38,1,ERNA10-SOS-UT931-436-10,41.06757,-111.9035,Common_garden,39.542992,-105.09878
34,Route 34 - 39 - 1,379.9272282,611.43361,39,1,ERNA10-SOS-UT931-433-10,41.31169,-111.9248,Common_garden,39.542992,-105.09878
35,Route 35 - 41 - 1,0.00021112,0.00034,41,1,Common_garden,39.542992,-105.098776,Common_garden,39.542992,-105.09878
36,Route 36 - 42 - 1,0.00021112,0.00034,42,1,ERNA10-DBG-Chatfield-21,39.542992,-105.098776,Common_garden,39.542992,-105.09878